comment_id,create_time,ip_location,note_id,content,user_id,nickname,avatar,sub_comment_count,pictures,parent_comment_id,last_modify_ts,like_count
688e1b37000000002b020d78,1754143543000,,688e19fb0000000023025481,图5是中宏保险的，图6是平安的图7是其他家保险的对比,5659b10ae4251d628b0cdac4,yangjunat,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31a3i7c6lng0043eosooglmm4sbsekrg?imageView2/2/w/120/format/jpg,7,,0,1765371573392,6
688eea8d000000002902b039,1754196622000,,688e19fb0000000023025481,打算给孩子买保险，人寿保险只能投保才可以看合同[哭惹R]感觉交了钱都不知道咋回事,5ab6fb774eacab099b4cf058,葳蕤芳草,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31i3s40v678204a3spqtnfs2ots6ning?imageView2/2/w/120/format/jpg,23,,0,1765371573395,1
688e20c5000000002b006ee7,1754144966000,,688e19fb0000000023025481,中宏保险对吧，好，拉黑名单里了,5b9874daf26668000179828f,你猜我要王哪走,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30ne5iuo0mo5g4aue8fqdl0kfif19usg?imageView2/2/w/120/format/jpg,25,,0,1765371573398,9
688f36e1000000002b02e95b,1754216161000,,688e19fb0000000023025481,中宏赔付已经是比较宽松了，会有一些通融理赔，个险获赔率是业内很高的水平，你这个确实不符合合同，确实比较倒霉，不同保险公司涵盖的病种略有差别，确实没有哪家是涵盖全的，建议换轻症打，找比较能靠上的条款往上靠，你这个是律师太不靠谱了，其实自己研究一下案例，自己重新打就行,55a92014c2bdeb7313c6dd22,止景思考笔记,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31jmrrkgjio6g40vejug19n92959240o?imageView2/2/w/120/format/jpg,16,,0,1765371573401,9
688e30a100000000290262a6,1754149025000,,688e19fb0000000023025481,可以走恶性肿瘤切除术或者原位癌的理赔吧？非要按胆道创伤来理赔吗？而且不管肿瘤切除术还是原位癌，甚至胆道重建，它都是轻症赔付，你要他给你按重症赔付是不是有点难为人了？建议去起诉，你这个肯定能理赔，无非是按哪种赔付比例来理赔罢了,5eb6c0e400000000010031d6,Horance,https://sns-avatar-qc.xhscdn.com/avatar/5eb6c0e400000000010031d6.jpg?imageView2/2/w/120/format/jpg,39,,0,1765371573407,12
68b588f9000000003001e4c2,1756727545000,,688e19fb0000000023025481,这个中宏一年交6k，得交十几二十万，我现在巴难不得赶快得个结节肿瘤啥的，把配给我赔了然后不交保费,622777ca000000002102a274,蛋卷卷卷,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31halkeufjo505oh7ev58d8jks1gdu80?imageView2/2/w/120/format/jpg,11,,0,1765371573409,0
688e92d9000000002a01b34f,1754174169000,,688e19fb0000000023025481,第一呢中宏的重疾本身就是特别小众的产品。根本就没有代理人推荐。一般买他们家的都是人情的。第二呢，靠诉讼。，别靠这种小红书没有用。,632559b300000000230382a4,老玉米（禁S聊了）,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo310gv7udome6g5op5b6pov0l47c035k8?imageView2/2/w/120/format/jpg,11,,0,1765371573413,3
688e3bfe000000002b02fdcc,1754151934000,,688e19fb0000000023025481,重疾险研究下来平安的最容易赔，就是略贵,61a76ea7000000002102b36a,态哥,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30mum63s6l65g5od7dqjodcracdbbcrg?imageView2/2/w/120/format/jpg,13,,0,1765371573416,4
688edf25000000002b022aee,1754193701000,,688e19fb0000000023025481,恶性肿瘤怎么可能不算重疾呢，任何一家重疾险都包括恶性肿瘤的理赔啊，国家对于高发的31种重疾有明确规定的，就连理赔条件都是一字不差的，这家重疾险不可能例外呀,557a4bee3397db45ffd9a6ad,双胞胎宝妈Sandy,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo314geqnvl6g0040q6fr5ut9ld64dqb48?imageView2/2/w/120/format/jpg,8,,0,1765371573418,0
688ec5a4000000002b02d50b,1754187172000,,688e19fb0000000023025481,小公司产品便宜，便宜就有便宜的原因,635faeaf000000001901ff29,小红薯63606605,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31okiubaq586g5oqvlqnmbvp99k5c1l8?imageView2/2/w/120/format/jpg,10,,0,1765371573420,1
